"MeterID";"Zone";"ConsumerType";"Date";"EnergyConsumed_kWh";"PeakUsage_kWh";"OutageMinutes";"MeterStatus";"TariffRate"
"M00199";"North";"Residential";"2022-10-13";474.42;21.29;164;"Active";6.9
"M00200";"North";"Industrial";"2025-10-05";263.89;16.26;192;"Faulty";7.72
"M00201";"North";"Residential";"2023-10-06";630.74;40.19;82;"Faulty";8.0
"M00202";"West";"Industrial";"2025-01-26";669.61;36.18;114;"Faulty";6.83
"M00203";"East";"Commercial";"2024-03-06";287.47;36.98;102;"Faulty";6.22
"M00204";"North";"Commercial";"2024-08-08";758.73;40.99;220;"Active";5.61
"M00205";"East";"Residential";"2023-01-09";707.69;43.32;80;"Active";5.94
"M00206";"North";"Residential";"2022-12-14";672.9;28.05;148;"Faulty";6.82
"M00207";"West";"Industrial";"2025-01-09";743.1;22.11;56;"Faulty";5.18
"M00208";"North";"Residential";"2024-03-07";717.79;43.72;213;"Faulty";3.34
"M00209";"Central";"Residential";"2024-10-10";648.83;18.62;194;"Active";3.19
"M00210";"North";"Residential";"2025-04-10";456.78;25.25;63;"Active";7.35
"M00211";"West";"Industrial";"2022-06-11";218.75;13.08;190;"Faulty";5.64
"M00212";"West";"Industrial";"2023-08-07";667.74;11.67;5;"Faulty";5.81
"M00213";"East";"Industrial";"2024-01-30";288.54;19.14;155;"Active";3.94
"M00214";"West";"Residential";"2025-08-30";926.59;12.95;56;"Active";7.88
"M00215";"East";"Residential";"2024-02-25";535.9;30.41;78;"Faulty";4.43
"M00216";"South";"Industrial";"2025-05-17";727.55;39.06;220;"Active";6.86
"M00217";"Central";"Residential";"2026-05-31";302.06;5.4;228;"Active";4.58
"M00218";"North";"Commercial";"2026-08-31";394.91;49.43;185;"Faulty";7.23
"M00219";"East";"Residential";"2025-08-03";596.38;21.17;88;"Faulty";5.74
"M00220";"Central";"Commercial";"2022-08-08";176.26;41.93;153;"Faulty";5.4
"M00221";"North";"Commercial";"2024-06-22";838.96;27.55;181;"Active";3.15
"M00222";"South";"Industrial";"2024-06-15";594.43;46.17;114;"Active";7.96
"M00223";"Central";"Residential";"2026-02-07";820.45;42.89;46;"Faulty";3.14
"M00224";"North";"Commercial";"2022-01-25";862.99;32.23;5;"Faulty";5.7
"M00225";"Central";"Commercial";"2024-05-12";823.88;20.3;229;"Active";5.39
"M00226";"Central";"Industrial";"2024-05-31";665.68;9.26;279;"Faulty";5.88
"M00227";"North";"Commercial";"2024-01-31";182.27;18.93;129;"Faulty";5.33
"M00228";"East";"Commercial";"2023-08-25";295.12;21.97;195;"Active";6.35
"M00229";"East";"Industrial";"2026-06-23";623.1;27.89;262;"Faulty";3.16
"M00230";"West";"Residential";"2022-06-21";719.08;42.67;133;"Faulty";5.76
"M00231";"North";"Commercial";"2022-01-06";760.88;43.67;130;"Active";5.82
"M00232";"East";"Commercial";"2026-01-20";500.12;38.35;209;"Faulty";3.54
"M00233";"East";"Industrial";"2024-03-27";311.64;33.94;131;"Active";6.28
"M00234";"Central";"Industrial";"2023-11-01";981.04;48.42;41;"Faulty";6.55
"M00235";"South";"Commercial";"2026-10-03";267.68;33.63;36;"Faulty";7.17
"M00236";"East";"Residential";"2023-10-13";547.79;9.64;214;"Faulty";5.54
"M00237";"North";"Residential";"2025-11-13";921.65;46.03;115;"Active";6.1
"M00238";"East";"Residential";"2025-07-04";642.05;13.52;114;"Active";5.08
"M00239";"East";"Industrial";"2023-05-01";394.63;17.99;148;"Faulty";6.74
"M00240";"West";"Commercial";"2023-02-24";690.4;41.35;192;"Active";6.42
"M00241";"South";"Commercial";"2022-01-22";954.16;20.99;247;"Active";5.12
"M00242";"South";"Residential";"2025-01-15";605.56;48.6;13;"Faulty";7.2
"M00243";"North";"Commercial";"2024-11-24";142.0;35.26;277;"Active";4.39
"M00244";"Central";"Commercial";"2022-12-21";366.11;25.74;87;"Active";3.49
"M00245";"East";"Commercial";"2024-07-01";837.29;30.72;53;"Active";6.14
"M00246";"East";"Industrial";"2026-05-18";960.53;14.16;110;"Faulty";3.16
"M00247";"East";"Industrial";"2025-05-28";304.33;43.94;214;"Active";3.33
"M00248";"North";"Residential";"2022-03-26";924.9;5.82;168;"Active";7.69
"M00249";"Central";"Industrial";"2022-10-24";695.37;5.62;177;"Active";4.67
"M00250";"East";"Industrial";"2024-02-19";664.3;28.06;88;"Active";7.63
"M00251";"South";"Industrial";"2025-02-08";599.82;48.62;296;"Active";6.38
"M00252";"South";"Commercial";"2025-10-22";384.24;10.09;242;"Faulty";3.53
"M00253";"West";"Residential";"2022-01-01";478.0;49.24;208;"Active";6.56
"M00254";"South";"Commercial";"2022-09-22";290.38;12.07;61;"Faulty";7.26
"M00255";"West";"Industrial";"2025-08-13";929.15;48.3;102;"Active";4.2
"M00256";"South";"Commercial";"2025-03-30";644.49;29.87;289;"Faulty";6.56
"M00257";"East";"Residential";"2026-09-11";359.4;40.92;268;"Active";5.64
"M00258";"Central";"Industrial";"2022-08-18";872.44;49.51;119;"Faulty";7.41
"M00259";"South";"Industrial";"2026-04-04";419.3;34.62;136;"Active";4.37
"M00260";"West";"Industrial";"2023-02-19";461.67;10.28;9;"Active";7.73
"M00261";"East";"Industrial";"2026-08-24";881.55;37.86;271;"Faulty";5.3
"M00262";"North";"Industrial";"2023-04-15";251.69;8.09;108;"Active";6.31
"M00263";"West";"Residential";"2022-02-24";262.54;32.98;82;"Active";3.78
"M00264";"Central";"Industrial";"2024-04-16";974.74;25.6;101;"Active";7.16
"M00265";"East";"Residential";"2024-06-02";593.66;43.01;72;"Faulty";6.75
"M00266";"South";"Industrial";"2022-11-11";913.99;39.46;119;"Faulty";3.67
"M00267";"North";"Industrial";"2023-01-12";975.04;29.8;163;"Faulty";5.12
"M00268";"West";"Residential";"2023-10-21";669.14;25.76;194;"Faulty";3.28
"M00269";"North";"Industrial";"2024-05-25";489.76;19.57;8;"Faulty";6.75
"M00270";"West";"Industrial";"2024-10-10";384.96;36.46;62;"Active";6.04
"M00271";"East";"Residential";"2024-12-28";592.1;40.0;240;"Active";3.87
"M00272";"South";"Residential";"2024-03-04";385.15;42.97;292;"Active";7.18
"M00273";"Central";"Industrial";"2024-01-30";474.34;16.91;190;"Active";5.55
"M00274";"South";"Residential";"2026-01-31";561.0;36.79;28;"Active";3.81
"M00275";"East";"Residential";"2025-01-28";813.16;26.2;165;"Active";4.51
"M00276";"Central";"Industrial";"2024-08-22";409.93;48.38;169;"Active";4.7
"M00277";"North";"Commercial";"2022-09-25";778.86;37.25;2;"Active";6.31
"M00278";"West";"Commercial";"2025-03-10";745.63;45.0;133;"Faulty";3.59
"M00279";"South";"Commercial";"2023-11-30";726.0;21.26;209;"Faulty";4.85
"M00280";"Central";"Residential";"2023-09-08";811.16;20.69;110;"Active";3.13
"M00281";"South";"Commercial";"2024-02-01";416.97;34.51;190;"Active";4.01
"M00282";"South";"Residential";"2025-09-19";907.2;16.67;257;"Active";4.97
"M00283";"South";"Industrial";"2024-06-11";932.88;18.26;196;"Active";5.76
"M00284";"North";"Residential";"2025-03-14";896.62;25.99;233;"Faulty";6.67
"M00285";"South";"Industrial";"2024-12-28";255.06;16.75;50;"Faulty";5.28
"M00286";"North";"Residential";"2026-02-19";826.13;5.82;243;"Active";5.09
"M00287";"Central";"Commercial";"2026-08-11";920.66;41.21;62;"Faulty";4.98
"M00288";"West";"Residential";"2024-08-24";305.19;43.75;98;"Faulty";5.54
"M00289";"North";"Industrial";"2022-10-13";635.82;14.87;275;"Active";3.71
"M00290";"East";"Commercial";"2023-01-09";511.22;18.03;214;"Active";6.52
"M00291";"South";"Commercial";"2022-08-18";875.2;46.48;87;"Faulty";7.3
"M00292";"North";"Industrial";"2022-07-09";645.97;43.94;255;"Active";6.3
"M00293";"East";"Industrial";"2026-12-23";870.84;29.35;299;"Faulty";3.01
"M00294";"West";"Residential";"2022-08-16";509.78;30.66;10;"Active";3.62
"M00295";"North";"Commercial";"2022-07-30";593.87;12.77;262;"Faulty";4.47
"M00296";"West";"Residential";"2023-02-08";400.99;20.18;297;"Active";4.71
"M00297";"North";"Residential";"2025-11-24";366.71;5.07;262;"Faulty";7.01
"M00298";"East";"Commercial";"2025-07-22";668.04;47.39;123;"Active";7.95
"M00299";"West";"Residential";"2025-08-15";366.88;18.44;197;"Faulty";6.82
"M00300";"North";"Commercial";"2023-01-24";984.4;46.74;102;"Active";4.36
"M00301";"Central";"Industrial";"2023-10-25";330.1;15.06;190;"Active";3.96
"M00302";"East";"Commercial";"2025-07-08";855.33;10.0;260;"Faulty";3.02
"M00303";"East";"Commercial";"2022-02-01";815.18;34.27;165;"Faulty";3.9
"M00304";"Central";"Commercial";"2026-11-07";507.17;37.61;222;"Active";3.67
"M00305";"Central";"Residential";"2026-04-12";580.11;14.82;290;"Active";6.78
"M00306";"South";"Commercial";"2022-02-12";299.74;16.63;32;"Active";3.75
"M00307";"West";"Residential";"2024-04-19";115.44;45.74;213;"Faulty";5.46
"M00308";"South";"Commercial";"2022-02-04";893.09;41.28;102;"Faulty";6.85
"M00309";"East";"Residential";"2025-06-21";126.19;15.72;291;"Active";3.64
"M00310";"South";"Residential";"2023-11-10";476.34;31.68;183;"Active";4.92
"M00311";"Central";"Residential";"2026-11-28";156.05;16.3;192;"Active";3.19
"M00312";"North";"Residential";"2025-04-11";533.33;34.58;81;"Active";4.22
"M00313";"South";"Commercial";"2026-12-11";516.32;29.95;126;"Active";4.48
"M00314";"South";"Residential";"2023-11-22";425.98;45.34;246;"Faulty";6.34
"M00315";"Central";"Residential";"2025-02-12";308.93;24.77;79;"Active";7.87
"M00316";"Central";"Commercial";"2025-12-19";896.28;30.83;231;"Faulty";7.91
"M00317";"North";"Industrial";"2023-08-08";424.07;47.85;92;"Faulty";7.73
"M00318";"Central";"Industrial";"2023-04-11";959.09;16.07;188;"Active";4.24
"M00319";"South";"Residential";"2022-07-22";424.63;13.49;278;"Active";5.88
"M00320";"West";"Industrial";"2026-04-07";919.19;29.04;23;"Active";7.75
"M00321";"West";"Residential";"2025-09-20";194.18;35.99;106;"Faulty";5.92
"M00322";"South";"Commercial";"2024-03-03";221.43;9.86;81;"Faulty";5.67
"M00323";"North";"Residential";"2022-03-16";740.68;23.61;39;"Active";7.94
"M00324";"South";"Residential";"2023-07-04";793.23;7.57;81;"Faulty";7.94
"M00325";"Central";"Commercial";"2024-12-03";252.64;45.96;66;"Faulty";5.64
"M00326";"West";"Industrial";"2025-06-30";196.29;30.25;21;"Faulty";5.95
"M00327";"Central";"Industrial";"2025-01-30";243.94;14.61;182;"Faulty";7.24
"M00328";"Central";"Residential";"2025-01-04";349.38;15.92;67;"Faulty";4.61
"M00329";"West";"Industrial";"2026-02-28";683.85;48.82;254;"Active";5.18
"M00330";"South";"Residential";"2022-01-20";537.23;10.79;262;"Active";3.6
"M00331";"South";"Industrial";"2023-08-28";227.97;12.62;177;"Faulty";5.26
"M00332";"Central";"Industrial";"2026-11-04";779.84;18.43;111;"Faulty";6.06
"M00333";"East";"Industrial";"2023-08-27";408.06;23.84;35;"Active";6.36
"M00334";"East";"Commercial";"2025-06-21";454.91;40.05;186;"Active";7.86
"M00335";"North";"Commercial";"2024-06-05";869.78;10.35;237;"Faulty";4.2
"M00336";"East";"Residential";"2026-01-21";863.01;27.51;161;"Active";5.14
"M00337";"West";"Commercial";"2024-05-14";369.79;39.28;75;"Active";6.97
"M00338";"West";"Residential";"2024-03-27";689.35;7.95;159;"Faulty";5.55
"M00339";"South";"Commercial";"2023-10-10";901.33;49.97;216;"Active";7.11
"M00340";"East";"Residential";"2026-05-03";612.68;20.95;100;"Faulty";4.19
